frame,time,source,x,y,confidence,truth_id
9,0.90,radar,24.334,29.326,0.762,3
9,0.90,camera,24.896,28.097,0.897,3
9,0.90,camera,67.651,27.599,0.610,-1
10,1.00,radar,15.616,10.273,1.080,1
10,1.00,radar,33.751,12.259,0.744,2
10,1.00,camera,34.366,13.827,0.877,2
10,1.00,radar,65.999,48.874,0.477,-1
11,1.10,radar,15.333,9.966,0.904,1
11,1.10,camera,15.161,7.404,0.889,1
11,1.10,radar,34.931,12.100,0.941,2
11,1.10,camera,34.973,13.757,0.795,2
11,1.10,radar,24.359,29.045,0.953,3
11,1.10,camera,25.077,29.431,0.600,3
11,1.10,camera,4.298,46.798,0.687,-1
12,1.20,radar,18.068,10.189,0.587,1
12,1.20,camera,17.564,11.043,0.958,1
12,1.20,radar,32.696,14.165,0.870,2
12,1.20,radar,26.207,28.212,0.958,3
12,1.20,camera,24.105,27.429,1.170,3
13,1.30,radar,19.212,11.349,1.008,1
13,1.30,radar,32.330,14.415,0.717,2
13,1.30,camera,33.521,13.964,0.918,2
13,1.30,radar,24.310,27.243,0.985,3
13,1.30,camera,25.634,27.396,0.871,3
14,1.40,radar,19.405,10.961,0.978,1
14,1.40,camera,18.977,10.319,0.881,1
14,1.40,radar,32.356,13.996,1.051,2
14,1.40,camera,32.767,14.781,0.895,2
14,1.40,camera,25.459,28.067,0.856,3
14,1.40,radar,17.052,41.258,0.698,-1
15,1.50,radar,30.534,15.507,0.930,2
15,1.50,camera,29.671,15.081,0.747,2
15,1.50,radar,25.248,28.248,0.745,3
15,1.50,camera,26.367,27.400,0.929,3
16,1.60,radar,22.850,14.392,0.927,1
16,1.60,camera,22.817,12.269,0.943,1
16,1.60,radar,30.016,14.435,0.849,2
16,1.60,camera,32.060,14.563,0.837,2
16,1.60,radar,26.341,26.044,0.960,3
16,1.60,camera,25.053,28.855,0.836,3
17,1.70,radar,22.457,12.855,1.049,1
17,1.70,radar,29.663,14.608,0.959,2
17,1.70,camera,29.526,16.015,0.975,2
17,1.70,radar,26.593,26.557,1.200,3
17,1.70,camera,28.340,26.788,1.060,3
18,1.80,radar,23.364,11.716,0.852,1
18,1.80,camera,23.282,14.250,1.027,1
18,1.80,radar,28.555,15.319,0.907,2
18,1.80,camera,28.155,15.413,0.694,2
18,1.80,radar,28.519,25.042,1.006,3
18,1.80,camera,25.651,24.630,0.810,3
18,1.80,camera,85.952,11.363,0.481,-1
19,1.90,radar,25.206,13.536,0.953,1
19,1.90,camera,25.088,15.730,0.969,1
19,1.90,radar,29.617,16.199,0.946,2
19,1.90,camera,27.552,16.122,0.778,2
19,1.90,radar,27.812,25.509,0.725,3
20,2.00,radar,25.584,14.936,0.999,1
20,2.00,camera,24.402,13.273,0.743,1
20,2.00,radar,27.193,16.557,1.052,2
20,2.00,camera,28.691,15.857,0.878,2
20,2.00,radar,28.944,23.604,1.081,3
20,2.00,camera,29.422,23.744,0.831,3
20,2.00,camera,35.897,42.393,0.687,-1
21,2.10,radar,26.489,14.223,1.032,1
21,2.10,camera,26.529,15.695,0.942,1
21,2.10,radar,28.348,17.218,1.115,2
21,2.10,camera,28.889,15.103,0.880,2
21,2.10,radar,30.095,23.317,0.952,3
21,2.10,camera,27.509,23.534,0.920,3
21,2.10,camera,-9.826,37.551,0.636,-1
22,2.20,radar,27.712,15.856,0.865,1
22,2.20,camera,26.881,15.753,0.506,1
22,2.20,radar,28.811,15.959,1.047,2
22,2.20,camera,27.470,16.653,0.900,2
22,2.20,radar,28.195,22.705,1.044,3
22,2.20,camera,29.153,23.691,1.090,3
23,2.30,radar,27.660,16.792,0.802,1
23,2.30,camera,28.045,14.820,0.835,1
23,2.30,radar,25.505,16.376,0.872,2
23,2.30,radar,29.754,22.808,0.894,3
23,2.30,camera,29.893,23.004,0.836,3
24,2.40,radar,28.328,15.324,0.985,1
24,2.40,camera,29.645,16.678,0.772,1
24,2.40,radar,28.002,15.567,0.887,2
24,2.40,camera,25.953,17.908,0.909,2
24,2.40,radar,29.532,22.238,0.723,3
24,2.40,camera,28.516,20.650,0.915,3
24,2.40,camera,17.024,37.648,0.499,-1
25,2.50,radar,29.265,16.990,0.741,1
25,2.50,camera,29.687,18.011,0.991,1
25,2.50,radar,24.638,16.668,0.866,2
25,2.50,camera,27.023,18.150,0.941,2
25,2.50,radar,30.560,19.105,0.903,3
25,2.50,camera,29.885,22.299,0.786,3
25,2.50,camera,14.847,-7.367,0.362,-1
26,2.60,radar,30.217,14.765,0.919,1
26,2.60,camera,29.443,15.157,0.890,1
26,2.60,camera,24.814,20.083,0.788,2
26,2.60,radar,29.689,20.542,1.121,3
26,2.60,camera,30.548,20.827,0.693,3
26,2.60,radar,69.049,-14.919,0.515,-1
27,2.70,radar,31.809,16.826,1.053,1
27,2.70,camera,32.035,18.294,0.822,1
27,2.70,radar,23.874,17.752,0.917,2
27,2.70,camera,25.121,16.860,0.925,2
27,2.70,radar,30.883,19.388,1.052,3
27,2.70,camera,30.397,19.004,0.839,3
27,2.70,radar,10.522,52.890,0.425,-1
28,2.80,radar,32.991,17.473,1.034,1
28,2.80,camera,32.180,20.008,0.773,1
28,2.80,radar,23.330,17.170,1.038,2
28,2.80,camera,23.983,19.072,0.925,2
28,2.80,radar,33.087,19.769,0.964,3
28,2.80,camera,32.812,18.140,0.805,3
29,2.90,radar,31.145,18.601,1.200,1
29,2.90,camera,35.493,18.185,0.766,1
29,2.90,radar,23.236,18.514,0.958,2
29,2.90,camera,21.068,20.690,1.071,2
29,2.90,radar,32.815,18.057,1.125,3
29,2.90,camera,31.048,19.123,0.736,3
30,3.00,radar,34.995,17.199,1.143,1
30,3.00,radar,22.602,17.511,0.981,2
30,3.00,radar,31.809,18.399,1.149,3
30,3.00,camera,31.290,19.201,1.010,3
30,3.00,camera,82.423,5.818,0.589,-1
31,3.10,radar,35.545,19.446,0.677,1
31,3.10,radar,22.460,19.857,0.747,2
31,3.10,camera,21.875,20.795,0.736,2
31,3.10,radar,32.045,17.940,1.043,3
31,3.10,camera,31.758,18.407,0.922,3
32,3.20,radar,37.034,18.194,0.831,1
32,3.20,camera,36.725,17.914,0.945,1
32,3.20,radar,20.397,19.227,0.899,2
32,3.20,radar,32.719,17.634,1.071,3
32,3.20,camera,33.219,17.299,0.940,3
33,3.30,radar,38.440,18.374,0.900,1
33,3.30,camera,37.952,18.812,0.833,1
33,3.30,radar,20.855,19.598,1.079,2
33,3.30,camera,20.315,20.544,0.915,2
33,3.30,camera,32.567,16.931,0.997,3
34,3.40,radar,38.544,20.231,1.198,1
34,3.40,camera,38.822,19.173,0.887,1
34,3.40,radar,19.644,20.207,0.768,2
34,3.40,camera,18.398,21.126,0.915,2
34,3.40,radar,32.266,15.542,0.943,3
34,3.40,camera,33.262,16.120,0.742,3
34,3.40,camera,4.137,-0.722,0.402,-1
35,3.50,radar,39.426,20.212,1.057,1
35,3.50,camera,39.808,21.029,0.945,1
35,3.50,radar,19.281,19.282,1.001,2
35,3.50,camera,19.195,18.757,0.797,2
35,3.50,radar,34.422,16.909,0.867,3
35,3.50,camera,34.267,16.764,0.820,3
35,3.50,camera,31.408,-13.725,0.607,-1
36,3.60,radar,40.233,20.496,0.713,1
36,3.60,camera,42.199,21.423,0.899,1
36,3.60,radar,17.708,20.193,0.959,2
36,3.60,radar,33.789,15.606,0.837,3
36,3.60,camera,35.821,14.533,0.902,3
36,3.60,radar,82.550,-7.385,0.496,-1
37,3.70,radar,42.363,22.115,0.934,1
37,3.70,radar,18.670,20.714,1.200,2
37,3.70,camera,18.589,22.116,0.755,2
37,3.70,radar,35.383,15.986,0.971,3
37,3.70,camera,35.735,15.132,0.783,3
37,3.70,camera,83.855,-4.046,0.444,-1
38,3.80,radar,44.150,21.800,1.038,1
38,3.80,camera,44.839,21.303,0.693,1
38,3.80,radar,16.466,21.723,1.071,2
38,3.80,camera,15.594,20.862,0.935,2
38,3.80,radar,34.425,14.967,0.954,3
38,3.80,camera,35.145,13.098,0.878,3
39,3.90,radar,44.455,21.295,0.914,1
39,3.90,camera,43.940,21.231,1.012,1
39,3.90,radar,16.401,21.274,1.135,2
39,3.90,camera,18.343,21.384,0.802,2
39,3.90,radar,36.414,13.018,0.956,3
40,4.00,radar,44.522,23.346,0.991,1
40,4.00,camera,44.228,24.969,0.901,1
40,4.00,radar,14.742,22.049,1.173,2
40,4.00,camera,15.898,22.749,0.653,2
40,4.00,radar,34.794,13.138,1.200,3
40,4.00,camera,34.655,12.362,0.859,3
40,4.00,camera,6.123,50.548,0.572,-1
41,4.10,radar,46.476,24.177,1.134,1
41,4.10,radar,14.801,21.516,1.057,2
41,4.10,camera,14.293,22.469,0.812,2
41,4.10,radar,35.818,12.065,0.978,3
41,4.10,camera,35.543,11.729,0.797,3
42,4.20,radar,47.302,25.147,1.162,1
42,4.20,camera,47.324,21.935,0.585,1
42,4.20,radar,14.323,21.806,0.981,2
42,4.20,camera,14.684,21.526,0.765,2
42,4.20,radar,37.141,11.840,0.975,3
42,4.20,camera,20.374,21.616,0.514,-1
43,4.30,radar,48.882,24.301,1.011,1
43,4.30,camera,48.036,23.867,1.065,1
43,4.30,radar,14.194,22.437,0.963,2
43,4.30,camera,13.625,21.961,0.968,2
43,4.30,camera,34.579,12.702,0.749,3
43,4.30,camera,14.850,48.245,0.318,-1
44,4.40,radar,48.258,25.236,1.145,1
44,4.40,radar,13.952,23.442,0.926,2
44,4.40,camera,12.436,22.208,0.712,2
44,4.40,radar,36.539,10.744,1.044,3
45,4.50,radar,49.749,25.289,1.061,1
45,4.50,camera,48.260,25.314,0.718,1
45,4.50,radar,13.301,23.704,1.055,2
45,4.50,camera,13.082,22.628,0.632,2
45,4.50,radar,38.011,11.440,0.755,3
45,4.50,camera,38.871,10.277,1.021,3
46,4.60,radar,50.895,25.749,0.944,1
46,4.60,camera,51.598,27.557,0.782,1
46,4.60,radar,12.753,23.176,0.968,2
46,4.60,camera,14.627,23.093,0.684,2
46,4.60,radar,37.042,10.155,0.873,3
46,4.60,camera,36.490,9.636,0.696,3
46,4.60,radar,29.156,25.973,0.526,-1
47,4.70,radar,52.202,26.390,0.899,1
47,4.70,camera,51.367,26.226,0.821,1
47,4.70,radar,11.476,23.799,0.984,2
47,4.70,camera,11.763,24.038,0.770,2
47,4.70,radar,37.818,9.044,1.097,3
47,4.70,camera,37.707,8.677,0.910,3
47,4.70,radar,-6.557,44.340,0.625,-1
