frame,time,source,x,y,confidence,truth_id
34,3.40,radar,38.876,16.719,0.832,13
34,3.40,lidar,40.226,16.530,1.040,13
35,3.50,radar,41.371,28.096,0.928,11
35,3.50,camera,42.431,27.689,0.825,11
35,3.50,radar,11.010,9.798,1.109,12
35,3.50,camera,8.988,6.256,0.968,12
35,3.50,lidar,19.832,22.471,0.425,-1
36,3.60,radar,42.020,29.475,0.932,11
36,3.60,camera,41.896,30.318,0.896,11
36,3.60,radar,10.550,7.540,0.966,12
36,3.60,camera,11.720,6.016,0.629,12
36,3.60,lidar,41.283,17.112,0.783,13
36,3.60,camera,42.055,14.718,0.754,13
37,3.70,radar,44.103,30.101,1.042,11
37,3.70,camera,44.681,29.008,0.767,11
37,3.70,radar,10.026,6.423,1.117,12
37,3.70,lidar,9.221,6.923,0.775,12
37,3.70,radar,41.715,15.697,0.898,13
37,3.70,camera,41.748,14.354,0.709,13
38,3.80,radar,6.713,5.317,0.906,12
39,3.90,radar,46.869,32.293,0.765,11
39,3.90,lidar,47.103,31.695,0.796,11
39,3.90,radar,7.032,4.626,0.948,12
39,3.90,radar,43.033,14.571,0.755,13
39,3.90,camera,44.764,13.759,0.705,13
39,3.90,radar,25.584,-3.221,0.407,-1
40,4.00,lidar,48.720,31.320,0.874,11
40,4.00,camera,48.828,34.279,0.935,11
40,4.00,radar,7.033,3.704,0.884,12
40,4.00,radar,44.502,14.157,0.867,13
40,4.00,camera,45.294,12.875,0.607,13
40,4.00,lidar,14.493,12.386,0.587,-1
41,4.10,radar,47.831,32.127,1.178,11
41,4.10,camera,49.268,31.928,0.902,11
41,4.10,radar,5.768,3.672,0.932,12
41,4.10,camera,5.770,4.098,0.758,12
