frame,time,source,x,y,confidence,truth_id
7,0.70,camera,80.520,51.145,0.498,-1
8,0.80,radar,17.819,11.780,0.907,21
8,0.80,camera,17.228,11.830,0.961,21
8,0.80,radar,22.985,14.965,0.877,22
8,0.80,camera,23.057,16.952,0.854,22
8,0.80,radar,26.196,17.659,0.913,23
8,0.80,camera,27.586,17.598,0.902,23
8,0.80,radar,80.400,-3.487,0.418,-1
8,0.80,camera,46.752,17.819,0.517,-1
9,0.90,radar,17.459,11.775,0.901,21
9,0.90,camera,17.897,10.993,0.819,21
9,0.90,radar,23.626,14.212,0.866,22
9,0.90,camera,22.557,13.829,0.979,22
9,0.90,radar,27.643,17.768,0.795,23
9,0.90,camera,25.401,18.396,0.666,23
9,0.90,camera,45.488,51.022,0.444,-1
9,0.90,camera,29.634,-7.002,0.372,-1
10,1.00,radar,18.871,11.356,1.009,21
10,1.00,camera,18.603,10.651,0.832,21
10,1.00,radar,24.159,14.805,0.897,22
10,1.00,camera,24.462,14.613,0.824,22
10,1.00,radar,28.748,18.914,1.049,23
10,1.00,camera,26.925,18.554,0.791,23
11,1.10,radar,20.515,10.903,1.095,21
11,1.10,camera,22.586,11.696,0.786,21
11,1.10,radar,26.197,15.280,0.935,22
11,1.10,camera,25.785,15.285,0.949,22
11,1.10,radar,27.462,19.307,0.774,23
11,1.10,camera,27.421,20.489,0.730,23
11,1.10,camera,70.411,36.525,0.305,-1
11,1.10,radar,27.301,36.607,0.679,-1
12,1.20,radar,22.056,12.027,1.073,21
12,1.20,camera,21.821,13.634,1.028,21
12,1.20,radar,26.573,15.673,0.734,22
12,1.20,camera,27.277,15.320,0.866,22
12,1.20,radar,30.099,18.094,0.856,23
12,1.20,camera,29.635,18.131,0.896,23
12,1.20,camera,84.877,-14.034,0.437,-1
13,1.30,radar,20.254,11.848,0.960,21
13,1.30,camera,21.599,12.557,0.685,21
13,1.30,radar,27.060,15.298,1.018,22
13,1.30,camera,26.615,14.892,0.819,22
13,1.30,radar,31.270,20.263,0.920,23
13,1.30,camera,30.740,17.812,0.953,23
13,1.30,camera,83.741,7.005,0.434,-1
13,1.30,radar,-7.949,17.159,0.695,-1
14,1.40,radar,23.472,12.949,0.936,21
14,1.40,camera,23.616,11.894,1.005,21
14,1.40,radar,30.858,14.641,1.100,22
14,1.40,camera,28.757,16.627,0.701,22
14,1.40,radar,31.383,18.063,0.908,23
14,1.40,camera,33.807,20.173,0.782,23
14,1.40,camera,63.953,20.623,0.554,-1
14,1.40,camera,23.443,34.296,0.569,-1
15,1.50,radar,23.799,11.214,1.122,21
15,1.50,camera,22.372,12.577,0.916,21
15,1.50,radar,28.999,14.672,0.786,22
15,1.50,camera,30.535,14.865,0.815,22
15,1.50,radar,32.842,19.701,0.781,23
15,1.50,radar,48.492,6.297,0.441,-1
15,1.50,camera,62.120,49.537,0.635,-1
16,1.60,radar,22.718,13.057,1.178,21
16,1.60,camera,24.547,10.743,0.852,21
16,1.60,radar,30.470,13.874,1.032,22
16,1.60,camera,29.806,15.469,0.852,22
16,1.60,radar,34.094,18.986,0.964,23
16,1.60,camera,32.262,17.888,0.945,23
16,1.60,camera,82.289,-0.144,0.431,-1
17,1.70,radar,25.341,11.947,0.852,21
17,1.70,camera,25.122,12.753,0.819,21
17,1.70,radar,31.357,15.090,1.071,22
17,1.70,camera,31.178,16.789,1.122,22
17,1.70,radar,34.940,18.991,0.947,23
17,1.70,camera,34.625,17.750,0.908,23
17,1.70,radar,25.784,10.321,0.438,-1
18,1.80,radar,26.434,13.869,1.200,21
18,1.80,camera,26.367,14.096,0.903,21
18,1.80,camera,30.997,14.850,0.726,22
18,1.80,radar,35.039,18.478,0.856,23
18,1.80,camera,35.582,18.283,0.830,23
19,1.90,radar,26.473,12.148,1.200,21
19,1.90,camera,26.692,13.725,0.954,21
19,1.90,radar,33.176,15.140,0.796,22
19,1.90,camera,31.958,17.241,0.679,22
19,1.90,radar,35.972,18.658,0.917,23
19,1.90,camera,35.554,19.348,1.108,23
19,1.90,radar,22.383,48.245,0.343,-1
20,2.00,radar,28.945,13.353,0.754,21
20,2.00,radar,34.913,14.336,1.094,22
20,2.00,camera,33.442,15.289,0.849,22
20,2.00,radar,38.284,18.893,1.030,23
20,2.00,camera,37.082,18.107,0.934,23
20,2.00,radar,37.737,50.372,0.608,-1
21,2.10,radar,28.731,12.947,0.999,21
21,2.10,radar,34.908,16.656,0.719,22
21,2.10,camera,33.145,17.772,0.917,22
21,2.10,radar,38.594,18.629,0.969,23
21,2.10,camera,37.447,20.521,1.067,23
22,2.20,radar,29.983,12.995,0.904,21
22,2.20,camera,30.847,13.228,0.716,21
22,2.20,radar,34.842,16.649,0.889,22
22,2.20,camera,34.873,17.214,0.752,22
22,2.20,radar,39.473,18.819,1.057,23
22,2.20,camera,40.680,18.355,0.666,23
22,2.20,camera,-3.544,-7.276,0.683,-1
23,2.30,radar,31.059,13.394,0.786,21
23,2.30,camera,30.098,14.735,0.844,21
23,2.30,radar,37.057,16.086,1.181,22
23,2.30,camera,36.350,16.241,0.896,22
23,2.30,radar,41.156,19.031,1.028,23
24,2.40,radar,31.258,13.448,0.981,21
24,2.40,camera,31.171,14.520,0.529,21
24,2.40,radar,39.024,16.188,1.075,22
24,2.40,camera,37.204,16.708,0.867,22
24,2.40,radar,39.832,19.935,0.848,23
24,2.40,camera,38.189,19.003,0.783,23
25,2.50,radar,31.041,14.677,1.037,21
25,2.50,radar,37.750,16.973,0.898,22
25,2.50,camera,37.508,15.014,0.893,22
25,2.50,radar,41.894,18.360,0.867,23
25,2.50,camera,43.593,19.965,0.661,23
25,2.50,radar,29.352,21.838,0.545,-1
26,2.60,radar,32.657,14.909,0.868,21
26,2.60,camera,32.941,13.671,1.111,21
26,2.60,radar,39.357,15.565,0.866,22
26,2.60,camera,39.644,17.732,0.785,22
26,2.60,radar,41.950,18.890,0.955,23
26,2.60,camera,44.069,17.617,0.892,23
27,2.70,radar,34.808,14.278,1.059,21
27,2.70,camera,32.287,14.543,0.925,21
27,2.70,radar,39.569,17.773,0.819,22
27,2.70,camera,40.304,13.675,1.099,22
27,2.70,radar,43.486,19.491,1.010,23
27,2.70,camera,42.582,18.759,0.746,23
27,2.70,radar,52.275,21.637,0.621,-1
27,2.70,radar,-9.919,3.177,0.536,-1
28,2.80,radar,33.249,13.744,0.947,21
28,2.80,camera,35.827,12.972,0.828,21
28,2.80,radar,42.802,18.221,0.897,22
28,2.80,camera,43.261,16.548,0.736,22
28,2.80,camera,46.461,19.051,0.778,23
28,2.80,radar,82.482,-1.587,0.689,-1
29,2.90,radar,35.496,14.047,0.857,21
29,2.90,radar,41.641,17.561,0.692,22
29,2.90,camera,42.401,18.345,0.876,22
29,2.90,radar,44.790,19.701,0.833,23
29,2.90,camera,46.912,18.152,0.901,23
29,2.90,radar,57.038,36.831,0.461,-1
29,2.90,camera,45.385,38.846,0.608,-1
30,3.00,radar,36.865,14.891,0.973,21
30,3.00,camera,36.342,14.606,0.695,21
30,3.00,radar,42.771,15.869,0.910,22
30,3.00,camera,43.341,15.746,0.928,22
30,3.00,radar,47.905,17.931,1.016,23
30,3.00,camera,48.029,22.703,0.864,23
30,3.00,camera,-1.339,11.861,0.566,-1
30,3.00,camera,41.098,14.415,0.320,-1
31,3.10,radar,38.702,13.672,1.007,21
31,3.10,camera,37.074,16.034,0.898,21
31,3.10,radar,43.352,17.343,0.851,22
31,3.10,camera,43.729,17.896,1.106,22
31,3.10,radar,48.872,19.704,0.830,23
31,3.10,camera,47.980,19.092,0.936,23
31,3.10,radar,70.246,26.446,0.482,-1
32,3.20,radar,37.131,15.461,1.070,21
32,3.20,camera,39.091,16.993,0.922,21
32,3.20,radar,44.802,16.973,1.086,22
32,3.20,camera,44.555,15.613,0.852,22
32,3.20,radar,49.032,20.088,0.985,23
32,3.20,camera,48.660,19.694,0.903,23
32,3.20,radar,85.087,14.028,0.564,-1
32,3.20,camera,58.591,-4.161,0.323,-1
33,3.30,radar,41.085,15.458,0.926,21
33,3.30,camera,40.387,14.473,0.990,21
33,3.30,radar,46.784,17.008,0.987,22
33,3.30,camera,45.651,18.469,0.835,22
33,3.30,camera,49.665,19.028,0.799,23
33,3.30,radar,32.986,32.523,0.346,-1
34,3.40,radar,40.459,17.581,0.765,21
34,3.40,camera,39.660,15.068,0.735,21
34,3.40,radar,48.239,17.819,0.927,22
34,3.40,camera,48.125,16.380,0.800,22
34,3.40,radar,51.053,19.484,1.200,23
34,3.40,camera,51.498,22.184,1.009,23
34,3.40,radar,55.653,-11.496,0.433,-1
35,3.50,radar,41.723,15.392,1.148,21
35,3.50,camera,41.722,14.470,0.989,21
35,3.50,radar,48.556,16.281,0.883,22
35,3.50,camera,47.844,17.686,0.796,22
35,3.50,radar,52.093,20.493,1.066,23
35,3.50,camera,50.978,20.933,0.888,23
35,3.50,camera,20.338,3.290,0.343,-1
36,3.60,radar,42.867,15.881,1.028,21
36,3.60,camera,42.077,16.256,0.818,21
36,3.60,radar,49.002,18.350,0.919,22
36,3.60,camera,51.498,17.549,0.828,22
36,3.60,radar,52.131,20.171,0.982,23
37,3.70,radar,43.378,15.320,1.059,21
37,3.70,camera,45.249,14.295,0.927,21
37,3.70,radar,49.712,17.668,0.907,22
37,3.70,camera,49.418,18.046,0.708,22
37,3.70,radar,54.234,19.650,0.922,23
37,3.70,camera,54.526,20.029,0.776,23
37,3.70,radar,71.055,17.325,0.668,-1
37,3.70,camera,68.660,-12.743,0.615,-1
38,3.80,radar,43.850,15.767,1.011,21
38,3.80,camera,42.530,17.293,0.767,21
38,3.80,radar,51.115,17.972,0.974,22
38,3.80,camera,50.852,17.746,0.890,22
38,3.80,radar,56.575,20.619,1.059,23
38,3.80,camera,55.419,18.293,0.590,23
38,3.80,camera,57.272,37.189,0.354,-1
39,3.90,radar,46.361,15.194,1.057,21
39,3.90,camera,43.548,14.052,0.939,21
39,3.90,radar,52.505,17.561,1.093,22
39,3.90,camera,51.712,20.209,1.060,22
39,3.90,radar,56.069,21.600,0.959,23
39,3.90,camera,56.814,20.180,0.989,23
40,4.00,radar,45.108,16.952,0.999,21
40,4.00,camera,44.594,16.588,0.741,21
40,4.00,radar,52.148,16.904,0.864,22
40,4.00,camera,54.274,18.177,0.839,22
40,4.00,radar,57.472,20.179,0.998,23
40,4.00,camera,56.028,19.180,0.879,23
40,4.00,camera,29.387,17.616,0.313,-1
40,4.00,camera,8.729,47.269,0.463,-1
41,4.10,radar,47.151,16.763,0.869,21
41,4.10,camera,46.357,15.444,0.919,21
41,4.10,radar,54.374,18.891,1.050,22
41,4.10,camera,51.923,17.898,0.948,22
41,4.10,radar,58.364,19.147,1.146,23
41,4.10,camera,55.823,22.357,0.863,23
41,4.10,radar,35.457,41.658,0.400,-1
41,4.10,radar,88.452,36.420,0.601,-1
42,4.20,radar,48.924,17.339,0.947,21
42,4.20,camera,49.180,15.912,0.932,21
42,4.20,radar,54.556,19.518,0.840,22
42,4.20,camera,52.597,19.828,0.914,22
42,4.20,radar,59.035,20.123,1.128,23
42,4.20,camera,57.464,19.585,0.922,23
42,4.20,radar,62.886,37.487,0.314,-1
42,4.20,radar,-9.293,50.559,0.409,-1
43,4.30,radar,49.778,15.994,1.024,21
43,4.30,camera,48.939,17.999,0.831,21
43,4.30,radar,55.989,18.243,0.833,22
43,4.30,camera,55.627,19.918,0.797,22
43,4.30,radar,60.840,20.204,1.037,23
43,4.30,camera,59.535,19.978,0.851,23
43,4.30,radar,10.078,41.521,0.325,-1
43,4.30,radar,58.141,48.531,0.535,-1
44,4.40,radar,49.977,15.847,0.917,21
44,4.40,camera,49.027,15.080,0.876,21
44,4.40,radar,55.945,19.201,0.882,22
44,4.40,camera,57.674,17.980,0.860,22
44,4.40,radar,60.421,19.721,0.891,23
44,4.40,camera,61.452,21.234,0.876,23
44,4.40,camera,65.263,4.277,0.445,-1
45,4.50,radar,50.473,17.817,0.937,21
45,4.50,radar,59.281,17.908,0.905,22
45,4.50,camera,57.829,19.409,0.987,22
45,4.50,radar,62.532,20.069,0.839,23
45,4.50,camera,62.824,21.036,0.657,23
46,4.60,radar,49.976,15.353,1.125,21
46,4.60,camera,51.029,17.771,0.888,21
46,4.60,radar,58.179,19.353,0.843,22
46,4.60,camera,57.727,16.600,0.923,22
46,4.60,radar,63.650,19.670,1.024,23
46,4.60,camera,62.395,19.222,0.721,23
46,4.60,radar,5.116,32.009,0.602,-1
46,4.60,camera,79.882,37.011,0.628,-1
47,4.70,radar,53.100,17.289,0.906,21
47,4.70,camera,52.072,15.531,0.843,21
47,4.70,radar,60.134,19.037,0.864,22
47,4.70,camera,59.919,19.231,0.704,22
47,4.70,radar,62.172,19.733,1.094,23
47,4.70,radar,35.774,38.479,0.479,-1
48,4.80,radar,54.434,16.963,0.925,21
48,4.80,camera,53.217,15.876,0.878,21
48,4.80,radar,62.702,18.019,0.865,22
48,4.80,camera,60.644,19.209,0.762,22
48,4.80,radar,63.999,19.971,0.962,23
48,4.80,camera,65.784,20.442,0.965,23
48,4.80,radar,48.492,13.010,0.505,-1
49,4.90,radar,54.481,18.842,1.167,21
49,4.90,camera,54.188,15.710,1.159,21
49,4.90,radar,61.325,18.961,0.776,22
49,4.90,camera,62.225,17.937,0.881,22
49,4.90,radar,65.584,20.975,1.017,23
49,4.90,camera,67.804,19.924,0.880,23
49,4.90,camera,10.117,37.888,0.635,-1
